,Original,Standardized
2769,Childhood Acute Erythroleukemia (M6); Childhood Acute Megakaryocytic Leukemia (M7); Childhood Acute Monoblastic Leukemia (M5a); Childhood Acute Monocytic Leukemia (M5b); Childhood Acute Myeloblastic Leukemia With Maturation (M2); Childhood Acute Myeloblastic Leukemia Without Maturation (M1); Childhood Acute Myelomonocytic Leukemia (M4); Childhood Myelodysplastic Syndromes; Chronic Myelomonocytic Leukemia; de Novo Myelodysplastic Syndromes; Refractory Anemia; Refractory Anemia With Excess Blasts; Refractory Anemia With Excess Blasts in Transformation; Refractory Anemia With Ringed Sideroblasts; Secondary Myelodysplastic Syndromes; Untreated Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies,Childhood Acute Erythroleukemia (M6); Childhood Acute Megakaryocytic Leukemia (M7); Childhood Acute Monoblastic Leukemia (M5a); Childhood Acute Monocytic Leukemia (M5b); Childhood Acute Myeloblastic Leukemia With Maturation (M2); Childhood Acute Myeloblastic Leukemia Without Maturation (M1); Childhood Acute Myelomonocytic Leukemia (M4); Childhood Myelodysplastic Syndromes; Chronic Myelomonocytic Leukemia; de Novo Myelodysplastic Syndromes; Refractory Anemia; Refractory Anemia With Excess Blasts; Refractory Anemia With Excess Blasts in Transformation; Refractory Anemia With Ringed Sideroblasts; Secondary Myelodysplastic Syndromes; Untreated Childhood Acute Myeloid Leukemia and Other Myeloid Malignancies
2770,Refractory Differentiated Thyroid Gland Carcinoma,Refractory Differentiated Thyroid Gland Carcinoma
2771,Advanced Breast Cancer; Treatment; HR Low/HER2 Negative,Advanced Breast Cancer; Treatment; HR Low/HER2 Negative
2772,Advanced Breast Cancer; HR+/HER2- Breast Cancer,Advanced HR+/HER2- Breast Cancer
2773,Breast Cancer; Chemotherapy-induced Alopecia,Breast Cancer; Chemotherapy-induced Alopecia
2774,Advanced Breast Cancer; Breast Cancer,Advanced Breast Cancer; Breast Cancer
2775,Relapsing-Remitting Multiple Sclerosis (RRMS),Relapsing Remitting Multiple Sclerosis
2776,"PIK3CA Mutation; Solid Tumor, Adult; HER2-negative Breast Cancer; Breast Cancer; Metastatic Breast Cancer; Advanced Breast Cancer; Unresectable Solid Tumor; Endometrial Cancer","PIK3CA Mutation; Solid Tumor, Adult; HER2-negative Breast Cancer; Breast Cancer; Metastatic Breast Cancer; Advanced Breast Cancer; Unresectable Solid Tumor; Endometrial Cancer"
2777,Stage III Prostate Adenocarcinoma AJCC v7; Stage III Prostate Cancer AJCC v7; Stage IV Prostate Adenocarcinoma AJCC v7; Stage IV Prostate Cancer AJCC v7,Stage III Prostate Adenocarcinoma AJCC v7; Stage III Prostate Cancer AJCC v7; Stage IV Prostate Adenocarcinoma AJCC v7; Stage IV Prostate Cancer AJCC v7
2778,Hypertension; Diabetes Mellitus,Hypertension
2779,DILI,Drug-Induced Liver Injury (DILI)
2780,Chronic Lymphocytic Leukaemia,Chronic Lymphocytic Leukaemia
2781,DLBCL Germinal Center B-Cell Type,DLBCL Germinal Center B-Cell Type
2782,"Anesthesia, Conduction",Conduction Anesthesia
2783,Functional Mitral Regurgitation,Functional Mitral Regurgitation
2784,Stage III Non-Small Cell Lung Cancer AJCC v7; Stage IIIA Non-Small Cell Lung Cancer AJCC v7; Stage IIIB Non-Small Cell Lung Cancer AJCC v7,Stage III Non-Small Cell Lung Cancer
2785,Lower Respiratory Tract Infection,Lower Respiratory Tract Infection
2786,Acute Myeloid Leukemia (AML); High Risk Acute Myeloid Leukemia(AML); Relapsed/Refractory Acute Myeloid Leukemia (AML),Acute Myeloid Leukemia (AML)
2787,"Hernia, Ventral; Pain Management",Ventral Hernia with Pain
2788,Refractory Plasma Cell Myeloma,Refractory Plasma Cell Myeloma
2789,Relapsing Multiple Sclerosis (RMS),Relapsing Multiple Sclerosis
2790,Acute Myeloid Leukemia (AML); High-risk Myelodysplastic Syndrome (MDS),Acute Myeloid Leukemia and High-risk Myelodysplastic Syndrome
2791,Hypertension; Diabetes,Cardiometabolic Disorders
2792,Low-grade Glioma; Pediatric Brain Tumor,Pediatric Low-grade Glioma
2793,Hypertension; Menopause,Hypertension; Menopause
2794,Acute Myeloblastic Leukemia,Acute Myeloblastic Leukemia
2795,Pancreas Adenocarcinoma; Borderline Resectable Pancreatic Adenocarcinoma; Locally Advanced Pancreatic Adenocarcinoma,Pancreas Adenocarcinoma; Borderline Resectable Pancreatic Adenocarcinoma; Locally Advanced Pancreatic Adenocarcinoma
2796,Stroke; Cerebrovascular Accident,Stroke
2797,Anthrax,Anthrax
2798,Gastro Intestinal Stromal Tumor,Gastro Intestinal Stromal Tumor
2799,Gastro Esophageal Reflux,Gastro Esophageal Reflux
2800,Opioid Dependence,Opioid Dependence
2801,Opioid Use; Spinal Diseases; Surgery--Complications; Surgery; Postoperative Pain,Postoperative Pain with Opioid Use
2802,Cardiotoxicity,Cardiotoxicity
2803,Opioid-Related Disorders,Opioid-Related Disorders
2804,Lung Cancer; Non-small Cell Lung Cancer,Lung Cancer; Non-small Cell Lung Cancer
2805,Crohn Disease; Ulcerative Colitis,Crohn Disease; Ulcerative Colitis
2806,Critically Ill,Critically Ill
2807,Optic Neuritis,Optic Neuritis
2808,"Stroke, Ischemic; Mild Cognitive Impairment; Dementia, Vascular; Metabolic Syndrome",Cerebrovascular and Cognitive Disorders
2809,Anterior Cruciate Ligament Reconstruction,Anterior Cruciate Ligament Reconstruction
2810,"Stroke, Ischemic","Stroke, Ischemic"
2811,Anterior Cruciate Ligament Injuries; Anterior Cruciate Ligament Rupture; Anterior Cruciate Ligament Tear,Anterior Cruciate Ligament Injuries
2812,Oral Leukoplakia,Oral Leukoplakia
2813,"Stroke, Cardiovascular","Stroke, Cardiovascular"
2814,Acute Lymphoblastic Leukemia; Lymphoblastic Lymphoma; B-cell Adult Acute Lymphoblastic Leukemia; T-cell Adult Acute Lymphoblastic Leukemia,Acute Lymphoblastic Leukemia; Lymphoblastic Lymphoma; B-cell Adult Acute Lymphoblastic Leukemia; T-cell Adult Acute Lymphoblastic Leukemia
2815,Stroke; Pain,Cerebrovascular Accident
2816,Hypertensive Disorder of Pregnancy,Hypertensive Disorder of Pregnancy
2817,Osteopenia,Osteopenia
2818,Ocular Hypertension; Open Angle Glaucoma,Glaucoma and Ocular Hypertension
2819,Childhood Solid Neoplasm; Recurrent Malignant Solid Neoplasm; Recurrent Primary Central Nervous System Neoplasm; Refractory Malignant Solid Neoplasm; Refractory Primary Central Nervous System Neoplasm,Pediatric and Recurrent Solid Neoplasms
2820,Obstructive Sleep Apnea (OSA),Obstructive Sleep Apnea
2821,Lung Diseases,Lung Diseases
2822,Distal Radius Fractures; Lidocaine; Ropivacaine; Fracture Dislocation; Closed Reduction of Fracture and Application of Plaster Cast; Colles' Fracture,Distal Radius Fractures
2823,Substance Use,Substance Use
2824,Acute Lymphoblastic Leukemia; Acute Lymphoblastic Lymphoma,Acute Lymphoblastic Leukemia/Lymphoma
2825,Gastroesophageal Junction Adenocarcinoma,Gastroesophageal Junction Adenocarcinoma
2826,Intraoperative Hypotension,Intraoperative Hypotension
2827,Ocular Redness,Ocular Redness
2828,Chronic Migraine,Chronic Migraine
2829,Intrauterine Growth Restriction,Intrauterine Growth Restriction
2830,Lung Cancer; Solid Tumor; Gastric Cancer; Urothelial Cancer; Endometrial Cancer; Multiple Myeloma; Myeloproliferative Neoplasms; Breast Cancer; Cholangiocarcinoma; UC; MPN,Lung Cancer; Solid Tumor; Gastric Cancer; Urothelial Cancer; Endometrial Cancer; Multiple Myeloma; Myeloproliferative Neoplasms; Breast Cancer; Cholangiocarcinoma; UC; MPN
2831,Olfactory Disorder,Olfactory Disorder
2832,Oligorecurrent and Oligometastatic Esophageal Squamous Cell Carcinoma,Oligorecurrent and Oligometastatic Esophageal Squamous Cell Carcinoma
2833,Double Express Diffuse Large B-cell Lymphoma,Double Express Diffuse Large B-cell Lymphoma
2834,"Chronic Migraine, Headache; Overuse Headache Medication",Chronic Migraine and Medication Overuse Headache
2835,GastroEsophageal Cancer; Gastric Cancer,Esophageal and Gastric Cancer
2836,Critical Illness; Surgery; Enteral Feeding Intolerance; Gastro-Intestinal Disorder; Quality of Life,Critical Illness with Gastrointestinal Complications
2837,Lung Cancer; Lung Diseases,Lung Cancer; Lung Diseases
2838,Organ Transplantation,Organ Transplantation
2839,Bleeding; Clot Blood,Bleeding Disorders
2840,"Lung Cancer, Non-Small Cell; Non-Small-Cell Lung Cancer","Lung Cancer, Non-Small Cell; Non-Small-Cell Lung Cancer"
2841,Gastric Cancer; Gastroesophageal Junction Adenocarcinoma,Gastroesophageal Junction Adenocarcinoma
2842,Intubation; Difficult,Difficult Intubation
2843,"Osteoarthritis, Hip; Osteoarthritis, Knee","Osteoarthritis, Hip; Osteoarthritis, Knee"
2844,Digestive Cancer; Metastatic Colorectal Cancer; Hepatocellular Carcinoma; GIST; Neuroendocrine Tumors,Digestive System Cancers
2845,Gastric Cancer; GastroEsophageal Cancer,Gastric Cancer; GastroEsophageal Cancer
2846,"Osteoarthritis,Knee","Osteoarthritis,Knee"
2847,"CML,Blast Phase","Chronic Myeloid Leukemia, Blast Phase"
2848,Gastric Cancer; Adenocarcinoma of the Esophagogastric Junction,Gastric Cancer; Adenocarcinoma of the Esophagogastric Junction
2849,Stomach Neoplasms; Chemotherapy Effect; Chemotherapeutic Toxicity,Chemotherapy-Induced Gastric Toxicity
2850,Relapsed Pediatric Solid Tumor; Refractory Pediatric Solid Tumor; Relapsed Pediatric AML; Refractory Pediatric AML,Relapsed Pediatric Solid Tumor; Refractory Pediatric Solid Tumor; Relapsed Pediatric AML; Refractory Pediatric AML
2851,Osteoarthritis; Pain,Osteoarthritis with Pain
2852,Cushing's Syndrome,Cushing's Syndrome
2853,Gastric Adenocarcinoma; Pancreatic Cancer; Gastroesophageal Junction Adenocarcinoma,Gastric and Pancreatic Cancer
2854,Osteoarthrosis,Osteoarthrosis
2855,Gastric Adenocarcinoma; Gastroesophageal Junction Adenocarcinoma; Esophageal Adenocarcinoma,Gastrointestinal Adenocarcinoma
2856,Ankle Injuries,Ankle Injuries
2857,Relapsed Acute Myeloid Leukemia; Refractory Acute Myeloid Leukemia; Minimal Residual Disease,Acute Myeloid Leukemia
2858,Invasive Breast Carcinoma; Triple-Negative Breast Carcinoma,Triple-Negative Breast Carcinoma
2859,Crohn's Disease; Ulcerative Colitis,Crohn's Disease; Ulcerative Colitis
2860,Osteoarthritis of the Knee; Chronic Lower Back Pain,Osteoarthritis and Chronic Pain
2861,Anorexia,Anorexia
2862,Acute Lymphocytic Leukemia,Acute Lymphocytic Leukemia
2863,Relapsed or Refractory Diffuse Large B-Cell Lymphoma,Relapsed or Refractory Diffuse Large B-Cell Lymphoma
2864,Orthodontic Pain,Dental Conditions
2865,Hereditary Angioedema,Hereditary Angioedema
2866,Orthostatic Hypotension,Orthostatic Hypotension
2867,Gastric Cancer; Peritoneal Metastases,Gastric Cancer with Peritoneal Metastases
2868,Stroke Patients,Stroke Patients
2869,Anorexia; Cachexia; HIV Infections,Anorexia and Cachexia
2870,Hereditary Haemorrhagic Telangiectasia (HHT),Hereditary Haemorrhagic Telangiectasia (HHT)
2871,Gastric Cancer; HER2 Overexpressing Gastric Carcinoma,Gastric Cancer; HER2 Overexpressing Gastric Carcinoma
2872,Adult T Acute Lymphoblastic Leukemia; Ann Arbor Stage II Adult Lymphoblastic Lymphoma; Ann Arbor Stage II Childhood Lymphoblastic Lymphoma; Ann Arbor Stage III Adult Lymphoblastic Lymphoma; Ann Arbor Stage III Childhood Lymphoblastic Lymphoma; Ann Arbor Stage IV Adult Lymphoblastic Lymphoma; Ann Arbor Stage IV Childhood Lymphoblastic Lymphoma; Childhood T Acute Lymphoblastic Leukemia,Acute Lymphoblastic Leukemia and Lymphoma
2873,Stress Urinary Incontinence,Stress Urinary Incontinence
2874,Osteoarthritis Knee Pain,Osteoarthritis Knee Pain
2875,Cardiovascular Diseases; Cardiac Diseases; Vascular Diseases; Cancer,Cardiovascular Diseases; Cardiac Diseases; Vascular Diseases; Cancer
2876,Osteoarthritis Thumb,Thumb Osteoarthritis
2877,Osteoarthritis of Knee,Osteoarthritis of Knee
2878,Blepharitis,Blepharitis
2879,Disorder Related to Cardiac Transplantation,Cardiac Transplantation Disorder
2880,Long QT Syndrome,Long QT Syndrome
2881,Stage IB Lung Non-Small Cell Carcinoma AJCC v7; Stage II Lung Non-Small Cell Cancer AJCC v7; Stage IIA Lung Cancer AJCC v8; Stage IIB Lung Cancer AJCC v8; Stage IIIA Lung Cancer AJCC v8; Stage IIIA Lung Non-Small Cell Cancer AJCC v7; Stage IIIB Lung Cancer AJCC v8,Stage IB Lung Non-Small Cell Carcinoma AJCC v7; Stage II Lung Non-Small Cell Cancer AJCC v7; Stage IIA Lung Cancer AJCC v8; Stage IIB Lung Cancer AJCC v8; Stage IIIA Lung Cancer AJCC v8; Stage IIIA Lung Non-Small Cell Cancer AJCC v7; Stage IIIB Lung Cancer AJCC v8
2882,Chronic Low Back Pain (CLBP),Chronic Low Back Pain (CLBP)
2883,Periodontal Diseases; Periodontitis,Periodontal Diseases; Periodontitis
2884,Castration-Resistant Prostatic Neoplasms,Castration-Resistant Prostate Cancer
2885,Breast Cancer; Cancer of Breast; Breast Neoplasms; Cancer of the Breast,Breast Cancer; Cancer of Breast; Breast Neoplasms; Cancer of the Breast
2886,Solid Tumor; Rhabdomyosarcoma,Rhabdomyosarcoma
2887,"Acute Myeloid Leukemia; Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Blasts 10 Percent or More of Bone Marrow Nucleated Cells; High Risk Myelodysplastic Syndrome; Myeloid Sarcoma; Myeloproliferative Neoplasm; Philadelphia Chromosome Positive","Acute Myeloid Leukemia; Blast Phase Chronic Myelogenous Leukemia, BCR-ABL1 Positive; Blasts 10 Percent or More of Bone Marrow Nucleated Cells; High Risk Myelodysplastic Syndrome; Myeloid Sarcoma; Myeloproliferative Neoplasm; Philadelphia Chromosome Positive"
2888,Breast Cancer; Cancer,Breast Cancer; Cancer
2889,Amyloidosis; Systemic,Systemic Amyloidosis
2890,Castration-Sensitive Prostate Carcinoma; Metastatic Prostate Adenocarcinoma; Stage IV Prostate Cancer AJCC v8; Stage IVA Prostate Cancer AJCC v8; Stage IVB Prostate Cancer AJCC v8,Castration-Sensitive Prostate Carcinoma; Metastatic Prostate Adenocarcinoma; Stage IV Prostate Cancer AJCC v8; Stage IVA Prostate Cancer AJCC v8; Stage IVB Prostate Cancer AJCC v8
2891,Castration-Sensitive Prostate Carcinoma; Metastatic Prostate Carcinoma; Stage IV Prostate Cancer AJCC V8; Stage IVA Prostate Cancer AJCC V8; Stage IVB Prostate Cancer AJCC V8,Metastatic Castration-Sensitive Prostate Carcinoma
2892,Drug-drug Interaction Study,Drug-drug Interaction Study
2893,Recurrent or Metastatic Nasopharyngeal Carcinoma,Recurrent or Metastatic Nasopharyngeal Carcinoma
2894,Recurrent or Metastatic Colorectal Cancer,Recurrent or Metastatic Colorectal Cancer
2895,Itch,Itch
2896,Diffuse Large B Cell Lymphoma; High-grade B-cell Lymphoma; Transformed Lymphoma,Diffuse Large B Cell Lymphoma; High-grade B-cell Lymphoma; Transformed Lymphoma
2897,Solid Tumor; Haematological Malignancy,Solid Tumor and Hematological Malignancy
2898,Renal Cell Carcinoma; Ovarian Carcinoma; Thyroid Carcinoma; Breast Carcinoma; Endometrium Carcinoma,Renal Cell Carcinoma; Ovarian Carcinoma; Thyroid Carcinoma; Breast Carcinoma; Endometrium Carcinoma
2899,Acute Myeloid Leukemia; Chronic Myelomonocytic Leukemia; Myeloblasts 10 Percent or More of Bone Marrow Nucleated Cells; Myelodysplastic Syndrome; Myeloproliferative Neoplasm; Recurrent Acute Myeloid Leukemia; Refractory Acute Myeloid Leukemia; Secondary Acute Myeloid Leukemia,Acute Myeloid Leukemia; Chronic Myelomonocytic Leukemia; Myeloblasts 10 Percent or More of Bone Marrow Nucleated Cells; Myelodysplastic Syndrome; Myeloproliferative Neoplasm; Recurrent Acute Myeloid Leukemia; Refractory Acute Myeloid Leukemia; Secondary Acute Myeloid Leukemia
2900,FLT3 Gene Mutation; AML,Acute Myeloid Leukemia with FLT3 Mutation
2901,Recurrent Squamous Cell Lung Carcinoma; Stage IV Squamous Cell Lung Carcinoma AJCC v7,Squamous Cell Lung Carcinoma
2902,Perennial Allergic Rhinitis,Perennial Allergic Rhinitis
2903,Acute Myeloid Leukemia; Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities; Adult Acute Myeloid Leukemia With Inv(16)(p13;q22); Adult Acute Myeloid Leukemia With t(15;17)(q22;q12); Adult Acute Myeloid Leukemia With t(16;16)(p13;q22); Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); Adult Acute Promyelocytic Leukemia (M3); Recurrent Adult Acute Myeloid Leukemia,Acute Myeloid Leukemia; Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities; Adult Acute Myeloid Leukemia With Inv(16)(p13;q22); Adult Acute Myeloid Leukemia With t(15;17)(q22;q12); Adult Acute Myeloid Leukemia With t(16;16)(p13;q22); Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); Adult Acute Promyelocytic Leukemia (M3); Recurrent Adult Acute Myeloid Leukemia
2904,"Peripheral Artery Disease; Atherosclerosis; Artery Diseases, Peripheral; Plaque, Atherosclerotic; Occlusive Arterial Disease","Peripheral Artery Disease; Atherosclerosis; Artery Diseases, Peripheral; Plaque, Atherosclerotic; Occlusive Arterial Disease"
2905,Renal Cell Carcinoma; Kidney Cancer,Renal Cell Carcinoma; Kidney Cancer
2906,"Acute Myeloid Leukemia; Acute Myeloid Leukemia Arising From Previous Myelodysplastic/Myeloproliferative Neoplasm; Acute Myeloid Leukemia Post Cytotoxic Therapy; Acute Myeloid Leukemia, Myelodysplasia-Related","Acute Myeloid Leukemia; Acute Myeloid Leukemia Arising From Previous Myelodysplastic/Myeloproliferative Neoplasm; Acute Myeloid Leukemia Post Cytotoxic Therapy; Acute Myeloid Leukemia, Myelodysplasia-Related"
2907,Solid Tumors; Advanced Cancer,Solid Tumors; Advanced Cancer
2908,Long COVID-19 Syndrome; Chronic Fatigue Syndrome,Coronavirus Infection
2909,Pediatric Solid Tumor,Tumor
2910,Castration-Resistant Prostate Carcinoma; Prostate Adenocarcinoma,Castration-Resistant Prostate Carcinoma; Prostate Adenocarcinoma
2911,High Risk Prostate Carcinoma; Localized Prostate Adenocarcinoma; Stage I Prostate Cancer AJCC v8; Stage II Prostate Cancer AJCC v8; Stage III Prostate Cancer AJCC v8,High Risk Prostate Carcinoma; Localized Prostate Adenocarcinoma; Stage I Prostate Cancer AJCC v8; Stage II Prostate Cancer AJCC v8; Stage III Prostate Cancer AJCC v8
2912,Pelvic Girdle Pain,Pelvic Girdle Pain
2913,Solid Tumors Harboring a BRAF V600 Mutation,Solid Tumors with BRAF V600 Mutation
2914,Advanced Cancer; Metastatic Melanoma; Metastatic Non-small Cell Lung Cancer; Colorectal Cancer,Advanced/Metastatic Cancers
2915,Percutaneous Coronary Intervention,Percutaneous Coronary Intervention
2916,Penile Cancer,Penile Cancer
2917,Penile Cancer; Erectile Dysfunction; Radical Prostatectomy,Penile Cancer and Complications
2918,Castration-Resistant Prostatic Cancer,Castration-Resistant Prostatic Cancer
2919,Peptic Ulcer,Peptic Ulcer
2920,Acute Myeloid Leukemia; Adult Acute Megakaryoblastic Leukemia (M7); Adult Acute Minimally Differentiated Myeloid Leukemia (M0); Adult Acute Monoblastic Leukemia (M5a); Adult Acute Monocytic Leukemia (M5b); Adult Acute Myeloblastic Leukemia With Maturation (M2); Adult Acute Myeloblastic Leukemia Without Maturation (M1); Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities; Adult Acute Myeloid Leukemia With Inv(16)(p13;q22); Adult Acute Myeloid Leukemia With t(16;16)(p13;q22); Adult Acute Myeloid Leukemia With t(8;21)(q22;q22); Adult Acute Myelomonocytic Leukemia (M4); Adult Erythroleukemia (M6a); Adult Pure Erythroid Leukemia (M6b); Untreated Adult Acute Myeloid Leukemia,Acute Myeloid Leukemia
2921,Acute Myeloid Leukemia; Adult Acute Megakaryoblastic Leukemia; Adult Acute Monoblastic Leukemia; Adult Acute Monocytic Leukemia; Adult Acute Myeloid Leukemia With Inv(16)(p13.1q22); CBFB-MYH11; Adult Acute Myeloid Leukemia With Maturation; Adult Acute Myeloid Leukemia With Minimal Differentiation; Adult Acute Myeloid Leukemia With t(16;16)(p13.1;q22); CBFB-MYH11; Adult Acute Myeloid Leukemia With t(8;21); (q22; q22.1); RUNX1-RUNX1T1; Adult Acute Myeloid Leukemia With t(9;11)(p21.3;q23.3); MLLT3-MLL; Adult Acute Myeloid Leukemia Without Maturation; Adult Acute Myelomonocytic Leukemia; Adult Erythroleukemia; Adult Pure Erythroid Leukemia; Alkylating Agent-Related Acute Myeloid Leukemia; de Novo Myelodysplastic Syndrome; Myelodysplastic Syndrome; Myelodysplastic Syndrome With Excess Blasts; Recurrent Adult Acute Myeloid Leukemia; Secondary Myelodysplastic Syndrome,Acute Myeloid Leukemia; Adult Acute Megakaryoblastic Leukemia; Adult Acute Monoblastic Leukemia; Adult Acute Monocytic Leukemia; Adult Acute Myeloid Leukemia With Inv(16)(p13.1q22); CBFB-MYH11; Adult Acute Myeloid Leukemia With Maturation; Adult Acute Myeloid Leukemia With Minimal Differentiation; Adult Acute Myeloid Leukemia With t(16;16)(p13.1;q22); CBFB-MYH11; Adult Acute Myeloid Leukemia With t(8;21); (q22; q22.1); RUNX1-RUNX1T1; Adult Acute Myeloid Leukemia With t(9;11)(p21.3;q23.3); MLLT3-MLL; Adult Acute Myeloid Leukemia Without Maturation; Adult Acute Myelomonocytic Leukemia; Adult Erythroleukemia; Adult Pure Erythroid Leukemia; Alkylating Agent-Related Acute Myeloid Leukemia; de Novo Myelodysplastic Syndrome; Myelodysplastic Syndrome; Myelodysplastic Syndrome With Excess Blasts; Recurrent Adult Acute Myeloid Leukemia; Secondary Myelodysplastic Syndrome
